Entity,Code,Year,CO₂ emissions per capita
Burundi,BDI,2020,0.05860566
Comoros,COM,2020,0.4613275
Djibouti,DJI,2020,0.41898745
Eritrea,ERI,2020,0.19473019
Ethiopia,ETH,2020,0.14072774
Kenya,KEN,2020,0.3828149
Madagascar,MDG,2020,0.13083282
Malawi,MWI,2020,0.09563126
Mauritius,MUS,2020,2.9609385
Mozambique,MOZ,2020,0.20596471
Rwanda,RWA,2020,0.10671424
Seychelles,SYC,2020,4.9645634
Somalia,SOM,2020,0.06843375
South Sudan,SSD,2020,0.15959515
Tanzania,TZA,2020,0.261632
Uganda,UGA,2020,0.12532032
Zambia,ZMB,2020,0.52418166
Zimbabwe,ZWE,2020,0.54684746
